X,Y,Count,Date,Time,Lat,Long,Speed,Altitude,GSR
-2497.45277594709,6718202.22192363,"4860",2/6/2018,15:34:58,51.544621,-0.022435,3.67,10.3,"330"
-2497.45277594709,6718202.22192363,"4861",2/6/2018,15:34:58,51.544621,-0.022435,3.67,10,"335"
-2496.11694205757,6718202.22192363,"4862",2/6/2018,15:34:59,51.544621,-0.022423,3.37,10,"326"
-2496.11694205757,6718202.22192363,"4863",2/6/2018,15:34:59,51.544621,-0.022423,3.37,9.5,"332"
-2493.89055224171,6718203.47490686,"4864",2/6/2018,15:35:0,51.544628,-0.022403,5.04,9.5,"325"
-2493.89055224171,6718203.47490686,"4865",2/6/2018,15:35:0,51.544628,-0.022403,5.04,9.5,"333"
-2492.22075987981,6718204.19089737,"4866",2/6/2018,15:35:1,51.544632,-0.022388,4.19,9.5,"324"
-2492.22075987981,6718204.19089737,"4867",2/6/2018,15:35:1,51.544632,-0.022388,4.19,9.3,"336"
-2490.21700904553,6718204.90688794,"4868",2/6/2018,15:35:2,51.544636,-0.02237,3.94,9.3,"325"
-2488.21325821125,6718205.62287857,"4869",2/6/2018,15:35:3,51.54464,-0.022352,4.17,9.3,"328"
-2485.98686839539,6718206.87586233,"4870",2/6/2018,15:35:4,51.544647,-0.022332,4.43,9.3,"323"
-2483.87179807031,6718206.87586233,"4871",2/6/2018,15:35:5,51.544647,-0.022313,4.5,9.3,"326"
-2483.87179807031,6718206.87586233,"4872",2/6/2018,15:35:5,51.544647,-0.022313,4.5,8.4,"331"
-2481.75672774524,6718207.59185313,"4873",2/6/2018,15:35:6,51.544651,-0.022294,4.8,8.4,"325"
-2481.75672774524,6718207.59185313,"4874",2/6/2018,15:35:6,51.544651,-0.022294,4.8,8.2,"334"
-2479.86429640176,6718208.307844,"4875",2/6/2018,15:35:7,51.544655,-0.022277,4.22,8.2,"326"
-2479.86429640176,6718208.307844,"4876",2/6/2018,15:35:7,51.544655,-0.022277,4.22,8.3,"332"
-2477.74922607668,6718209.02383493,"4877",2/6/2018,15:35:8,51.544659,-0.022258,5.48,8.3,"328"
-2477.74922607668,6718209.02383493,"4878",2/6/2018,15:35:8,51.544659,-0.022258,5.48,8.4,"330"
-2475.8567947332,6718210.27681922,"4879",2/6/2018,15:35:9,51.544666,-0.022241,4.2,8.4,"325"
-2475.8567947332,6718210.27681922,"4880",2/6/2018,15:35:9,51.544666,-0.022241,4.2,8.2,"331"
-2474.07568288051,6718210.99281032,"4881",2/6/2018,15:35:10,51.54467,-0.022225,4.65,8.2,"326"
-2474.07568288051,6718210.99281032,"4882",2/6/2018,15:35:10,51.54467,-0.022225,4.65,7.9,"331"
-2472.07193204623,6718211.70880149,"4883",2/6/2018,15:35:11,51.544674,-0.022207,4.87,7.9,"327"
-2472.07193204623,6718211.70880149,"4884",2/6/2018,15:35:11,51.544674,-0.022207,4.87,7.8,"335"
-2470.06818121195,6718212.42479272,"4885",2/6/2018,15:35:12,51.544678,-0.022189,4.82,7.8,"327"
-2470.06818121195,6718212.42479272,"4886",2/6/2018,15:35:12,51.544678,-0.022189,4.82,7.8,"333"
-2468.06443037767,6718213.67777752,"4887",2/6/2018,15:35:13,51.544685,-0.022171,4.8,7.8,"327"
-2468.06443037767,6718213.67777752,"4888",2/6/2018,15:35:13,51.544685,-0.022171,4.8,7.8,"331"
-2465.8380405618,6718214.39376892,"4889",2/6/2018,15:35:14,51.544689,-0.022151,4.76,7.8,"325"
-2465.8380405618,6718214.39376892,"4890",2/6/2018,15:35:14,51.544689,-0.022151,4.76,8,"333"
-2463.94560921832,6718215.10976039,"4891",2/6/2018,15:35:15,51.544693,-0.022134,4.43,8,"326"
-2463.94560921832,6718215.10976039,"4892",2/6/2018,15:35:15,51.544693,-0.022134,4.43,7.8,"331"
-2461.60789991166,6718216.54174351,"4893",2/6/2018,15:35:16,51.544701,-0.022113,4.83,7.8,"325"
-2461.60789991166,6718216.54174351,"4894",2/6/2018,15:35:16,51.544701,-0.022113,4.83,7.9,"334"
-2460.04942704055,6718216.54174351,"4895",2/6/2018,15:35:17,51.544701,-0.022099,3.04,7.9,"325"
-2460.04942704055,6718216.54174351,"4896",2/6/2018,15:35:17,51.544701,-0.022099,3.04,7.8,"332"
-2458.04567620627,6718217.07873725,"4897",2/6/2018,15:35:18,51.544704,-0.022081,5,7.8,"324"
-2458.04567620627,6718217.07873725,"4898",2/6/2018,15:35:18,51.544704,-0.022081,5,7.8,"331"
-2455.81928639041,6718218.51072071,"4899",2/6/2018,15:35:19,51.544712,-0.022061,5.24,7.8,"327"
-2455.81928639041,6718218.51072071,"4900",2/6/2018,15:35:19,51.544712,-0.022061,5.24,7.9,"332"
-2453.70421606534,6718219.22671254,"4901",2/6/2018,15:35:20,51.544716,-0.022042,4.72,7.9,"324"
-2451.36650675868,6718219.94270443,"4902",2/6/2018,15:35:21,51.54472,-0.022021,4.67,7.9,"322"
-2451.36650675868,6718219.94270443,"4903",2/6/2018,15:35:21,51.54472,-0.022021,4.67,8,"331"
-2449.25143643361,6718221.19569039,"4904",2/6/2018,15:35:22,51.544727,-0.022002,5.24,8,"325"
-2449.25143643361,6718221.19569039,"4905",2/6/2018,15:35:22,51.544727,-0.022002,5.24,8.1,"331"
-2447.13636610853,6718221.91168246,"4906",2/6/2018,15:35:23,51.544731,-0.021983,4.93,8.1,"323"
