index 	 lat 	 long 	 speed 	 date 	 time 	 air_val 	 dust 	 gsr
250	51.526083	-0.131807	5.9	180124	18531500	23	0.62	302
251	51.526075	-0.131885	5.81	180124	18531600	23	0.62	299
252	51.526063	-0.131915	4.72	180124	18531700	23	0.62	300
253	51.526055	-0.131947	3.88	180124	18531800	23	0.62	302
254	51.526043	-0.13198	3.46	180124	18531900	23	0.62	307
255	51.526045	-0.132077	3.84	180124	18532000	23	0.62	471
256	51.526042	-0.132162	4.13	180124	18532100	34	0.62	304
257	51.526035	-0.132227	5.16	180124	18532200	23	0.62	303
258	51.526013	-0.132323	5.83	180124	18532400	23	0.62	303
259	51.526	-0.132367	5.83	180124	18532500	23	0.62	310
260	51.525987	-0.13241	5.83	180124	18532600	23	0.62	306
261	51.525973	-0.13245	5.83	180124	18532700	23	0.62	306
262	51.525953	-0.13249	6.41	180124	18532800	23	0.62	308
263	51.525933	-0.13253	8.17	180124	18532900	23	0.62	308
264	51.52592	-0.132557	9.79	180124	18533000	23	0.62	311
265	51.525917	-0.132578	7.55	180124	18533100	23	0.62	312
266	51.525922	-0.132617	4.91	180124	18533200	23	0.62	308
267	51.525927	-0.132655	5.92	180124	18533300	23	0.62	308
268	51.52592	-0.132712	5.96	180124	18533400	23	0.62	307
269	51.525903	-0.132783	10.31	180124	18533500	23	0.62	311
270	51.525905	-0.132907	9.99	180124	18533700	23	0.62	308
271	51.5259	-0.132958	9.26	180124	18533800	24	0.62	309
272	51.525902	-0.133007	9.26	180124	18533900	23	0.62	307
273	51.525918	-0.132992	9.26	180124	18534000	23	0.62	309
274	51.525888	-0.132912	9.13	180124	18534100	23	0.62	311
275	51.525843	-0.132815	6.58	180124	18534200	23	0.62	314
276	51.52579	-0.132707	4.04	180124	18534300	24	0.62	313
277	51.525775	-0.132703	2.07	180124	18534400	23	0.62	311
278	51.52576	-0.132695	0.91	180124	18534500	23	0.62	312
279	51.525743	-0.132678	1.91	180124	18534600	23	0.62	311
280	51.525738	-0.132672	1.6	180124	18534700	23	0.62	309
281	51.525732	-0.13267	1.66	180124	18534800	23	0.62	315
282	51.525722	-0.132662	1.66	180124	18535000	24	0.62	313
283	51.525727	-0.132663	0.96	180124	18535100	23	0.62	409
284	51.525733	-0.132657	2.22	180124	18535200	28	0.62	312
285	51.525723	-0.132668	3.81	180124	18535300	23	0.62	314
286	51.525713	-0.132655	1.74	180124	18535400	24	0.62	311
287	51.525712	-0.132643	1.31	180124	18535500	23	0.62	314
288	51.525712	-0.13266	4.2	180124	18535600	24	0.62	314
289	51.525708	-0.132628	5.33	180124	18535700	24	0.62	314
290	51.525692	-0.13258	5.34	180124	18535800	23	0.62	317
291	51.525693	-0.13253	8.57	180124	18535900	24	0.62	319
292	51.525712	-0.132495	11.34	180124	18540000	23	0.62	319
293	51.525783	-0.132437	11.99	180124	18540200	23	0.62	318
294	51.525833	-0.132407	11.99	180124	18540300	24	0.62	318
295	51.525888	-0.132375	11.99	180124	18540400	24	0.62	320
296	51.525928	-0.13237	13.96	180124	18540500	23	0.62	320
297	51.525967	-0.132368	13.91	180124	18540600	24	0.62	323
298	51.526005	-0.132365	13.29	180124	18540700	24	0.62	318
299	51.526053	-0.132345	12.96	180124	18540800	24	0.62	318
300	51.526103	-0.132327	12.96	180124	18540900	24	0.62	317
301	51.526153	-0.132307	12.95	180124	18541000	24	0.62	317
302	51.526202	-0.132288	12.93	180124	18541100	24	0.62	333
303	51.526252	-0.132268	12.93	180124	18541200	24	0.62	323
