X,Y,index,lat,long,speed,date,time,air_val,dust,gsr
-14695.6199380924,6714645.77929952,"96",51.524748,-0.132013,6.23,"180124","18502800","22",0.62,"271"
-14695.5086186016,6714649.3576895,"97",51.524768,-0.132012,3.74,"180124","18502900","21",0.62,"273"
-14695.6199380924,6714653.83067918,"98",51.524793,-0.132013,3.79,"180124","18503000","22",0.62,"274"
-14692.5029923502,6714658.12475158,"99",51.524817,-0.131985,3.06,"180124","18503100","22",0.62,"276"
-14688.3841711909,6714662.59774607,"100",51.524842,-0.131948,4.91,"180124","18503200","22",0.62,"280"
-14687.4936152645,6714668.14426264,"101",51.524873,-0.13194,5.88,"180124","18503300","22",0.62,"281"
-14686.714378829,6714674.40646332,"102",51.524908,-0.131933,8.29,"180124","18503400","22",0.62,"282"
-14680.4804873445,6714676.1956644,"103",51.524918,-0.131877,6.02,"180124","18503500","22",0.62,"281"
-14678.0314585471,6714676.55350466,"104",51.52492,-0.131855,3.26,"180124","18503600","22",0.62,"280"
-14669.1258992836,6714675.30106381,"105",51.524913,-0.131775,3.26,"180124","18503800","22",0.62,"278"
-14666.6768704862,6714675.12214371,"106",51.524912,-0.131753,3.26,"180124","18503900","22",0.62,"285"
-14663.8938832163,6714674.40646332,"107",51.524908,-0.131728,2.41,"180124","18504000","22",0.62,"271"
-14661.8901323821,6714673.86970307,"108",51.524905,-0.13171,2.41,"180124","18504100","21",0.62,"268"
-14660.5542984925,6714675.12214371,"109",51.524912,-0.131698,3.43,"180124","18504200","21",0.62,"268"
-14660.9995764557,6714675.30106381,"110",51.524913,-0.131702,2.52,"180124","18504300","21",0.62,"270"
-14659.9977010386,6714675.12214371,"111",51.524912,-0.131693,1.63,"180124","18504400","21",0.62,"274"
-14658.3279086767,6714674.40646332,"112",51.524908,-0.131678,2.29,"180124","18504500","22",0.62,"276"
-14656.1015188608,6714674.40646332,"113",51.524908,-0.131658,2.88,"180124","18504600","22",0.62,"280"
-14653.318531591,6714673.51186293,"114",51.524903,-0.131633,2.75,"180124","18504700","22",0.62,"278"
-14649.9789468672,6714672.97510274,"115",51.5249,-0.131603,2.64,"180124","18504800","22",0.62,"274"
-14647.4185985789,6714672.61726264,"116",51.524898,-0.13158,3.21,"180124","18504900","22",0.62,"268"
-14641.0733876037,6714673.33294286,"117",51.524902,-0.131523,3.21,"180124","18505100","21",0.62,"268"
-14637.7338028799,6714673.86970307,"118",51.524905,-0.131493,4.32,"180124","18505200","21",0.62,"271"
-14635.1734545917,6714674.76430351,"119",51.52491,-0.13147,3.9,"180124","18505300","22",0.62,"277"
-14632.9470647758,6714674.76430351,"120",51.52491,-0.13145,3.92,"180124","18505400","22",0.62,"272"
-14630.4980359784,6714675.12214371,"121",51.524912,-0.131428,2.74,"180124","18505500","22",0.62,"278"
-14627.9376876901,6714675.65890403,"122",51.524915,-0.131405,2.98,"180124","18505600","22",0.62,"275"
-14625.7112978742,6714676.1956644,"123",51.524918,-0.131385,3.67,"180124","18505700","22",0.62,"275"
-14623.2622690768,6714676.55350466,"124",51.52492,-0.131363,3.38,"180124","18505800","22",0.62,"277"
-14621.5924767149,6714676.55350466,"125",51.52492,-0.131348,3.77,"180124","18505900","22",0.62,"279"
-14619.5887258806,6714677.8059457,"126",51.524927,-0.13133,2.81,"180124","18510000","22",0.62,"281"
-14618.1415725003,6714678.87946675,"127",51.524933,-0.131317,3.29,"180124","18510100","22",0.62,"278"
-14614.5793487949,6714680.48974859,"128",51.524942,-0.131285,2.92,"180124","18510300","22",0.62,"278"
-14612.5755979606,6714680.66866881,"129",51.524943,-0.131267,2.92,"180124","18510400","22",0.62,"275"
-14610.4605276356,6714681.38434974,"130",51.524947,-0.131248,2.7,"180124","18510500","22",0.62,"282"
-14608.6794157829,6714682.45787126,"131",51.524953,-0.131232,2.8,"180124","18510600","22",0.62,"280"
-14606.7869844394,6714684.24707411,"132",51.524963,-0.131215,3.3,"180124","18510700","22",0.62,"281"
-14603.781358188,6714685.14167568,"133",51.524968,-0.131188,4.56,"180124","18510800","22",0.62,"285"
-14600.9983709181,6714685.857357,"134",51.524972,-0.131163,5.22,"180124","18510900","23",0.62,"284"
-14598.2153836483,6714686.03627735,"135",51.524973,-0.131138,4.06,"180124","18511000","22",0.62,"287"
-14596.768230268,6714687.28871985,"136",51.52498,-0.131125,3.84,"180124","18511100","22",0.62,"293"
-14594.8757989245,6714688.18332175,"137",51.524985,-0.131108,3.73,"180124","18511200","22",0.62,"290"
-14593.2060065626,6714689.43576458,"138",51.524992,-0.131093,3.38,"180124","18511300","22",0.62,"282"
-14591.5362142007,6714691.22496896,"139",51.525002,-0.131078,3.71,"180124","18511400","22",0.62,"279"
-14588.6419074401,6714692.65633274,"140",51.52501,-0.131052,3.71,"180124","18511600","22",0.62,"279"
-14587.3060735506,6714693.55093524,"141",51.525015,-0.13104,1.67,"180124","18511700","22",0.62,"280"
-14586.7494760966,6714694.44553783,"142",51.52502,-0.131035,1.67,"180124","18511800","22",0.62,"279"
-14585.8589201703,6714694.98229943,"143",51.525023,-0.131027,1.67,"180124","18511900","22",0.62,"278"
-14585.8589201703,6714696.23474331,"144",51.52503,-0.131027,1.68,"180124","18512000","22",0.62,"279"
-14585.4136422071,6714697.66610797,"145",51.525038,-0.131023,2.05,"180124","18512100","22",0.62,"286"
-14586.526837115,6714700.3499174,"146",51.525053,-0.131033,2.53,"180124","18512200","22",0.62,"281"
-14587.6400320229,6714702.85480699,"147",51.525067,-0.131043,3.76,"180124","18512300","22",0.62,"285"
-14590.6456582744,6714705.53861813,"148",51.525082,-0.13107,4.15,"180124","18512400","22",0.62,"287"
-14592.8720480902,6714707.32782604,"149",51.525092,-0.13109,5.64,"180124","18512500","22",0.62,"287"
-14594.3192014705,6714711.44300574,"150",51.525115,-0.131103,5.92,"180124","18512600","22",0.62,"289"
-14597.8814251759,6714712.69545214,"151",51.525122,-0.131135,6.96,"180124","18512700","22",0.62,"291"
-14603.224760734,6714714.6635826,"152",51.525133,-0.131183,6.96,"180124","18512900","22",0.62,"288"
-14604.5605946235,6714716.27387151,"153",51.525142,-0.131195,6.96,"180124","18513000","22",0.62,"286"
-14606.5643454578,6714716.27387151,"154",51.525142,-0.131213,6.96,"180124","18513100","23",0.62,"286"
-14605.4511505499,6714715.55818751,"155",51.525138,-0.131203,4.53,"180124","18513200","22",0.62,"291"
-14606.5643454578,6714716.45279252,"156",51.525143,-0.131213,3.75,"180124","18513300","22",0.62,"288"
-14606.2303869854,6714718.06308178,"157",51.525152,-0.13121,2.82,"180124","18513400","22",0.62,"291"
-14606.7869844394,6714719.49445028,"158",51.52516,-0.131215,2.16,"180124","18513500","22",0.62,"294"
-14608.4567768013,6714718.95768706,"159",51.525157,-0.13123,1.96,"180124","18513600","22",0.62,"293"
-14608.7907352737,6714718.59984494,"160",51.525155,-0.131233,1.08,"180124","18513700","23",0.62,"295"
-14608.7907352737,6714718.59984494,"161",51.525155,-0.131233,0,"180124","18513800","23",0.62,"295"
-14607.6775403657,6714718.06308178,"162",51.525152,-0.131223,0,"180124","18513900","22",0.62,"292"
-14607.3435818934,6714718.24200283,"163",51.525153,-0.13122,2.76,"180124","18514100","22",0.62,"291"
-14606.7869844394,6714718.95768706,"164",51.525157,-0.131215,2.76,"180124","18514200","22",0.62,"291"
-14604.8945530959,6714721.28366126,"165",51.52517,-0.131198,2.83,"180124","18514300","23",0.62,"294"
-14604.0039971696,6714722.53610918,"166",51.525177,-0.13119,2.83,"180124","18514400","22",0.62,"292"
-14602.66816328,6714723.43071495,"167",51.525182,-0.131178,3.11,"180124","18514500","22",0.62,"297"
-14603.224760734,6714724.8620844,"168",51.52519,-0.131183,3.31,"180124","18514600","23",0.62,"298"
-14602.66816328,6714726.11453286,"169",51.525197,-0.131178,2.78,"180124","18514700","23",0.62,"298"
-14602.5568437892,6714727.54590278,"170",51.525205,-0.131177,2.36,"180124","18514800","23",0.62,"301"
-14603.1134412432,6714728.79835166,"171",51.525212,-0.131182,1.97,"180124","18514900","23",0.62,"302"
-14604.0039971696,6714730.22972205,"172",51.52522,-0.13119,1.42,"180124","18515000","23",0.62,"297"
-14604.0039971696,6714734.16599191,"173",51.525242,-0.13119,1.46,"180124","18515100","23",0.62,"293"
-14606.0077480038,6714737.38657776,"174",51.52526,-0.131208,3.83,"180124","18515200","23",0.62,"291"
-14612.0190005067,6714744.1855965,"175",51.525298,-0.131262,3.83,"180124","18515400","22",0.62,"290"
-14612.6869174514,6714747.22726461,"176",51.525315,-0.131268,3.83,"180124","18515500","22",0.62,"291"
-14614.9133072673,6714750.26893387,"177",51.525332,-0.131288,3.75,"180124","18515600","22",0.62,"292"
-14615.3585852305,6714753.84736973,"178",51.525352,-0.131292,3.04,"180124","18515700","22",0.62,"287"
-14613.2435149054,6714756.17335389,"179",51.525365,-0.131273,3.14,"180124","18515800","22",0.62,"282"
-14610.4605276356,6714758.32041678,"180",51.525377,-0.131248,4,"180124","18515900","22",0.62,"283"
-14610.4605276356,6714761.00424619,"181",51.525392,-0.131248,5.05,"180124","18520000","22",0.62,"283"
-14610.4605276356,6714762.79346628,"182",51.525402,-0.131248,5.21,"180124","18520100","22",0.62,"281"
-14610.6831666172,6714763.86699853,"183",51.525408,-0.13125,4.8,"180124","18520200","22",0.62,"281"
-14611.4624030527,6714765.11945299,"184",51.525415,-0.131257,3.84,"180124","18520300","22",0.62,"281"
-14612.3529589791,6714766.55082976,"185",51.525423,-0.131265,1.71,"180124","18520400","22",0.62,"285"
-14613.6887928686,6714768.34005108,"186",51.525433,-0.131277,1.71,"180124","18520600","22",0.62,"287"
-14612.6869174514,6714768.69789539,"187",51.525435,-0.131268,1.71,"180124","18520700","22",0.62,"288"
-14612.1303199975,6714768.69789539,"188",51.525435,-0.131263,1.71,"180124","18520800","22",0.62,"290"
-14614.3567098133,6714768.34005108,"189",51.525433,-0.131283,1.53,"180124","18520900","22",0.62,"291"
-14615.3585852305,6714768.69789539,"190",51.525435,-0.131292,0,"180124","18521000","22",0.62,"294"
-14614.9133072673,6714769.23466188,"191",51.525438,-0.131288,0,"180124","18521100","22",0.62,"296"
-14614.9133072673,6714769.23466188,"192",51.525438,-0.131288,0,"180124","18521200","22",0.62,"290"
-14614.9133072673,6714769.23466188,"193",51.525438,-0.131288,0,"180124","18521300","22",0.62,"288"
-14614.9133072673,6714769.23466188,"194",51.525438,-0.131288,0,"180124","18521400","22",0.62,"287"
-14613.2435149054,6714776.39155185,"195",51.525478,-0.131273,0,"180124","18521500","22",0.62,"289"
-14613.2435149054,6714777.64400824,"196",51.525485,-0.131273,1.82,"180124","18521600","23",0.62,"286"
-14613.8001123594,6714778.89646482,"197",51.525492,-0.131278,0,"180124","18521700","22",0.62,"283"
-14616.5830996292,6714781.75922345,"198",51.525508,-0.131303,0,"180124","18521900","22",0.62,"286"
-14617.1396970832,6714783.54844811,"199",51.525518,-0.131308,0,"180124","18522000","22",0.62,"289"
-14619.2547674082,6714785.69551821,"200",51.52553,-0.131327,1.27,"180124","18522100","22",0.62,"293"
-14620.3679623162,6714788.37935663,"201",51.525545,-0.131337,1.27,"180124","18522200","22",0.62,"291"
-14620.3679623162,6714790.52642801,"202",51.525557,-0.131337,2.13,"180124","18522300","22",0.62,"290"
-14620.479281807,6714791.95780924,"203",51.525565,-0.131338,2.36,"180124","18522400","22",0.62,"289"
-14623.70754704,6714793.74703614,"204",51.525575,-0.131367,1.98,"180124","18522500","22",0.62,"294"
-14625.7112978742,6714795.17841793,"205",51.525583,-0.131385,2.45,"180124","18522600","22",0.62,"290"
-14628.4942851441,6714796.78872276,"206",51.525592,-0.13141,1.92,"180124","18522700","22",0.62,"291"
-14629.9414385244,6714798.75687353,"207",51.525603,-0.131423,1.28,"180124","18522800","22",0.62,"295"
-14630.9433139415,6714800.36717906,"208",51.525612,-0.131432,2.19,"180124","18522900","23",0.62,"297"
-14632.6131063034,6714800.90394764,"209",51.525615,-0.131447,2.65,"180124","18523000","23",0.62,"301"
-14634.6168571377,6714798.22010509,"210",51.5256,-0.131465,2.65,"180124","18523200","23",0.62,"300"
-14635.7300520456,6714800.00933336,"211",51.52561,-0.131475,2.65,"180124","18523300","23",0.62,"296"
-14642.6318604748,6714804.48240575,"212",51.525635,-0.131537,1.27,"180124","18523400","22",0.62,"294"
-14644.3016528367,6714804.12455987,"213",51.525633,-0.131552,2.34,"180124","18523500","22",0.62,"297"
-14646.305403671,6714803.22994523,"214",51.525628,-0.13157,3.88,"180124","18523600","23",0.62,"298"
-14648.5317934869,6714805.0191746,"215",51.525638,-0.13159,3.44,"180124","18523700","22",0.62,"299"
-14651.3147807567,6714805.37702052,"216",51.52564,-0.131615,2.72,"180124","18523800","23",0.62,"300"
-14652.205336683,6714811.63932668,"217",51.525675,-0.131623,3.79,"180124","18523900","23",0.62,"303"
-14651.3147807567,6714817.36486796,"218",51.525707,-0.131615,3.71,"180124","18524000","23",0.62,"491"
-14653.8751290449,6714817.90163766,"219",51.52571,-0.131638,3.12,"180124","18524100","36",0.62,"308"
-14662.2240908544,6714821.1222566,"220",51.525728,-0.131713,1.85,"180124","18524200","23",0.62,"297"
-14664.1165221979,6714821.48010323,"221",51.52573,-0.13173,3,"180124","18524300","22",0.62,"302"
-14665.7863145598,6714821.83794988,"222",51.525732,-0.131745,3.16,"180124","18524400","23",0.62,"300"
-14669.459857756,6714824.52180021,"223",51.525747,-0.131778,2.05,"180124","18524500","23",0.62,"302"
-14674.3579153509,6714826.48995768,"224",51.525758,-0.131822,2.05,"180124","18524700","23",0.62,"304"
-14675.4711102588,6714829.17380954,"225",51.525773,-0.131832,3.76,"180124","18524800","23",0.62,"309"
-14676.1390272036,6714831.85766229,"226",51.525788,-0.131838,3.76,"180124","18524900","23",0.62,"308"
-14683.9313915591,6714839.90922584,"227",51.525833,-0.131908,2.46,"180124","18525000","23",0.62,"304"
